bin_start,bin_end,bin_mid,total_count,western_med,eastern_med,adriatic,black_sea,atlantic
-600,-550,-575.0,10.506666666666668,7.31,2.1133333333333333,0.5833333333333335,0.5,0.0
-550,-500,-525.0,19.331111111111117,15.374444444444444,1.8733333333333335,1.5833333333333335,0.5,0.0
-500,-450,-475.0,21.01651191271433,9.827777777777776,6.126867067468269,1.6283333333333332,3.4335337341349366,0.0
-450,-400,-425.0,26.24694842065084,12.655000000000001,11.821748019849224,0.2566666666666667,1.5135337341349366,0.0
-400,-350,-375.0,28.394999799096958,12.754999999999999,11.398132731628671,1.755,2.48686706746827,0.0
-350,-300,-325.0,33.51487167052055,14.120000000000001,15.048639523687191,1.75,2.5962321468333496,0.0
-300,-250,-275.0,45.427371879789874,28.083733874820837,10.914866175595996,3.8100000000000005,2.6187718293730318,0.0
-250,-200,-225.0,33.31930838772638,22.747337049424008,7.189866175595997,1.77,1.6121051627063652,0.0
-200,-150,-175.0,76.14231365214367,61.39321501065877,8.734070530704873,4.709589614740368,1.3054384960396983,0.0
-150,-100,-125.0,117.6151448564849,93.81064072190986,14.14750487413923,8.82792440075972,0.2987718293730317,0.0
-100,-50,-75.0,146.44157157353158,116.56371312599356,15.864828106462468,13.037288814732811,0.27877182937303174,0.0
-50,0,-25.0,145.999954690498,109.18243233731572,17.82908039680778,16.68061540978895,0.10377182937303178,0.0
0,50,25.0,176.43165382355454,137.87430695390438,13.305271173112532,20.9933492639615,0.0,0.0
50,100,75.0,172.65515226484104,124.56079860367974,12.555804321324242,23.772625484780924,0.0,0.0
100,150,125.0,83.98319770007812,49.644548854778066,8.717921879393403,10.846930352977868,1.04,0.0
150,200,175.0,76.7453450133846,47.553671694089935,8.056936379230486,5.635975708420768,0.0,0.0
200,250,225.0,72.20503851509763,53.82572936118341,7.620585178783805,3.8241105659324557,0.0,0.0
250,300,275.0,68.91842843196108,49.98703317841246,8.518630165622765,4.684129185308364,0.0,0.0
300,350,325.0,63.87793176404843,47.68123898979107,7.344820641813241,5.424566855722462,0.4166666666666667,0.0
350,400,375.0,45.36236562236824,31.899290683703192,7.124569584370208,4.316222374117111,0.7833333333333334,0.0
400,450,425.0,36.10650405257147,16.55044608673434,5.90828785875125,2.514657780815676,3.608333333333333,0.0
450,500,475.0,21.88916021654989,9.895717171717171,6.196776378166058,1.5883333333333338,4.208333333333333,0.0
500,550,525.0,21.84655898686171,7.019333333333332,11.082558986861711,0.6033333333333335,3.1413333333333333,0.0
550,600,575.0,20.364351947524234,4.881333333333334,12.04135194752424,0.5833333333333335,2.8583333333333334,0.0
600,650,625.0,18.796813217891053,4.417333333333334,13.008146551224387,0.3383333333333333,1.0330000000000004,0.0
650,700,675.0,13.654999959254269,4.372,8.15799995925427,0.3333333333333333,0.7916666666666669,0.0
700,750,725.0,3.6893528548840653,0.75,2.794352854884065,0.006666666666666667,0.13833333333333334,0.0
750,800,775.0,1.7906531613450727,0.5577777777777777,1.1078753835672948,0.0,0.125,0.0
800,850,825.0,3.0679291589715394,0.23222222222222222,2.5832069367493165,0.25,0.0025,0.0
850,900,875.0,3.1205271981872245,0.22222222222222224,2.314971642631669,0.5833333333333335,0.0,0.0
900,950,925.0,5.232978178579382,2.2222222222222228,2.4274226230238263,0.5833333333333335,0.0,0.0
950,1000,975.0,5.397978178579382,2.2422222222222223,2.572422623023826,0.5833333333333335,0.0,0.0
