wreck_id,strauss_id,name,parker_number,country,sea_area,region_db,latitude,longitude,date_start,date_end,cargo_types,provenance,destination,region
1,331,Komiza,,Croatia,Adriatic,Vis Island,43.03333,16.08333,1.0,200.0,amphorae,Egypt,Northern Italy,adriatic
2,328,Lokunji,,Croatia,Adriatic,Kvarner region,44.7,14.28333,1.0,100.0,amphorae,Cos,Northern Italy,adriatic
3,329,Maharac Cape,,Croatia,Adriatic,Mljet island,42.73333,17.66666,1.0,100.0,amphorae; Eastern coarse ware pottery of biconical dishes and trefoil mouth jugs.,Rhodes,Northern Italy,adriatic
4,330,Mlin,702,Croatia,Adriatic,Split channel,43.45,16.23333,1.0,200.0,amphorae,Aegean,Northern Italy,adriatic
5,322,Plavac B,832,Croatia,Adriatic,"Zlarin Island, central Dalmatia",,,1.0,100.0,,,,adriatic
6,326,Tramerka,,Croatia,Adriatic,Northern Dalmatia,44.21666,14.78333,1.0,100.0,amphorae,Rhodes,northern Italy,adriatic
7,332,Veliki Skolj,,Croatia,Adriatic,Mljet island,42.7,17.75,1.0,200.0,"marble; sarcophagi; marble:15 basins or unfinished sarcophagi with lids.; Sherds of Eastern coarse ware two-handled dishes, oinochoe.",Aegean,Northern Italy,adriatic
8,453,La Fourmigue C,425,France,Western Mediterranean,Alpes-Maritimes,,,-80.0,-60.0,"amphorae; A fine collection of furniture and sculptural appliques, mostly belonging to bronze couches inlaid with silver and copper; an inscription indicated Greek manufacture._x000D_
Also a large dish, a bucket, decorated with a fine Bacchic mask, a candelabrum foot and other pieces of bronze furniture.",Aegean via Cosa,France,western_med
9,407,Le Grotticelle,486,Italy,Tyrrhenian Sea,"Between Ventotene and S. Stefano, Pontine Islands",,,-75.0,-25.0,"amphorae; About four hundred pieces belonging to couches, bronze fittings from the legs and carved bone decoration (including female figures and animal heads)  from the bed and back of the couch. _x000D_
Other items include bronze fittings from chests and boxes. _x000D_
Also a marble base (for a statue), a marble basin, a wooden marline-spike. _x000D_
Coarse ware and fineware.",Aegean.,Rome,western_med
10,323,Koromasna  Cove,,Croatia,Adriatic,North side of Zirje island,43.65,15.65,1.0,100.0,amphorae,Aegean,Northern Italy,adriatic
11,372,Ognina A,755,Italy,Central Mediterranean,"Near Syracuse, east coast of Sicily",,,215.0,230.0,amphorae,Aegean/N. Africa/Propontis,Sicily/Rome?,western_med
12,12,Kizil Burun Column,,Turkey,Aegean,Southwest of Izmir,38.26075,26.24256,-125.0,-25.0,"amphorae; marble; columns; blocks; marble:Eight Proconnesian marble column drums averaging about 3 feet tall and ranging in diameter from 5 to 5.5 feet. This incremental graduation suggests that the eight drums and one capital comprise a single column over 30 feet tall. Newly quarried stone as the drums are not fluted and still preserve traces of corkscrew-shaped hoisting grooves. A group of large rectangular marble blocks which probably represent architectural elements associated with the column. This area also yielded an interesting array of newly-quarried, roughly-finished marble objects such as a small hand basin, the pedestal for one of two larger basins, and at least 6 uninscribed grave stones or stele. More than a dozen marble blocks.; Undecorated, utilitarian cookware (plates, casseroles). Numerous Italian ceramics including cooking pans. Several types of typical Hellenistic fineware (moldmade bowls, grey ware, and black glaze cups, bowls, and salt cellars).Nine bronze handles.",Proconnesus,"Claros, Turkey?",eastern_med
13,337,Vele Orjule/Lussino,,Croatia,Adriatic,Near Losinj Island,44.5,14.53333,-110.0,170.0,A life-size bronze statue of 'Apoxyomenos' was found as a solitary find. Supposedly a Hellenistic or Roman copy of the famous Greek C4th original. Dated by organic material found inside the statue.,Greece,Northern Italy,adriatic
14,362,Mazara del vallo,,Italy,Central Mediterranean,"Between Sicily and Cap Bon, Tunisia",,,-300.0,-100.0,"amphorae; A bronze satyr was retrieved on two different occasions: the discovery of the left leg, caught up in the nets of a fishing boat from Mazara in 1997, was followed by the discovery of the body in March 1998,  missing the other leg and the arms, however. The figure had larger than lifesize dimensions and was more than two metres tall. The overall weight of the preserved parts is around 108 kilograms (96 for the body, 12 the detached leg). The young Satyr is caught in the act of dancing, with his arms outspread, possibly holding a cup and a thyrsus, the left leg slightly raised and the head turned to one side with hair flowing around._x000D_
His semi-feral nature is shown by his pointed ears.",Greece,?,western_med
15,72,Aghios Eustratios(?),,Greece,Aegean,Between Euboea and Lesbos,,,-25.0,-1.0,Bronze statue of Augustus riding a horse.Tthis is the only preserved life-size equestrian statue of him. He wears a heavy chiton and a mantle and holds the reins with his left hand.,Aegean,?,eastern_med
16,503,Tyre F,1189,Lebanon,Eastern Mediterranean,On the south side of Tyre,,,-200.0,-100.0,amphorae,?,?,eastern_med
17,1,Marmaris B,658,Turkey,Aegean,Marmaris,,,-400.0,-25.0,"marble; marble:Louteria, similar in shape and concretion to those  in the Bodrum Museum.",Aegean,?,eastern_med
18,2,Kuçük Keramit Adasi,559,Turkey,Aegean,North of Bodrum,,,-310.0,-300.0,amphorae,Samos,?,eastern_med
19,3,Kizil Burun,547,Turkey,Aegean,Marmaris Peninsula,,,-300.0,-250.0,amphorae,Rhodes,?,eastern_med
20,4,Serçe Limani B,1071,Turkey,Aegean,Marmaris Peninsula,,,-300.0,-270.0,"amphorae; Minor cargo of small handle-less pots possibly for unguents, courseware jugs and black gloss ware. Twenty seven jars of uniform size and shape were found (heights vary between 8.2 and 9.3 cm.).  They may have originally contained unguents as the narrow mouth and carefully formed rim indicate their use for such valuable liquids. The jars may originate in Egypt._x000D_
This globular amphora has comparable parallels to ones from Pergamun and Tarsus, but enough differences exist to mark this one as unusual._x000D_
Millstones.",Egypt? Datça Peninsula,?,eastern_med
21,5,Mandalya Gulf B,643,Turkey,Aegean,North of Bodrum,,,-300.0,-100.0,amphorae,Aegean,?,eastern_med
22,7,Serçe Limani C,1072,Turkey,Aegean,Marmaris Peninsula,,,-150.0,-100.0,amphorae; Palestinian pottery.,Palestine/Rhodes,?,eastern_med
23,8,Sarah Ky,1038,Turkey,Aegean,Marmaris Peninsula,,,-300.0,-1.0,amphorae,Rhodes,?,eastern_med
24,10,Knidos A,548,Turkey,Aegean,Western tip of Datça Peninsula,,,-200.0,-1.0,"Cups, lamps and two-handled bowls.",Aegean,?,eastern_med
25,11,Knidos B,549,Turkey,Aegean,Western tip of Datça Peninsula,,,-200.0,-1.0,"amphorae; A large cargo of roof tiles, both pantiles and cover tiles. _x000D_
Some coarse pottery.",Aegean,?,eastern_med
26,13,Arap Adasi,50,Turkey,Aegean,South west of Marmaris,,,-100.0,-1.0,"amphorae; Bronze statue of a woman, C 3rd  BC.  Not necessarily from the same wreck.",Rhodes,?,eastern_med
27,14,Bodrum,105,Turkey,Aegean,Bodrum,,,-100.0,-1.0,amphorae,Cos,?,eastern_med
28,15,Yalikavak,1238,Turkey,Aegean,North of Bodrum,,,-100.0,-1.0,"amphorae; Tiles. Bronze statue of a negro boy, 47cm high, broken off at the waist; a bronze figurine of Isis-Fortuna 28cm high, with right arm and left wrist missing.",Aegean,?,eastern_med
29,16,Çökertme B,325,Turkey,Aegean,East of Bodrum,,,-100.0,-1.0,amphorae,Cnidus,?,eastern_med
30,17,Cape Gelidonya B,209,Turkey,Aegean,South of Kemer,,,-50.0,-25.0,"Over 300 pieces of Eastern Sigillata A pottery, including plates, larger plates, cups and bowls.",Eastern Cilicia,Aegean? Rome?,eastern_med
31,18,Sancak Burun,1026,Turkey,Aegean,East of Bodrum,,,-25.0,100.0,amphorae,Rhodes,?,eastern_med
32,19,Mandalya Gulf A,642,Turkey,Aegean,North of Bodrum,,,-50.0,50.0,amphorae,Cos,?,eastern_med
33,20,Ince Ada,516,Turkey,Aegean,South west of Marmaris,,,1.0,100.0,amphorae,Aegean,?,eastern_med
34,21,Karabağla,534,Turkey,Aegean,"Yassi Ada Reef, west of Bodrum",,,1.0,100.0,"amphorae; Tiles, lamps and pottery.",Rhodes,?,eastern_med
35,22,Cakil Burnu,,Turkey,Aegean,Sea of Marmara,,,1.0,100.0,amphorae,Cos?,Black Sea?,eastern_med
36,23,Sigacek,,Turkey,Aegean,?,,,1.0,100.0,"marble; columns; blocks; marble:8 column drums, a plinth and slabs.",?,?,eastern_med
37,6,Gökova,457,Turkey,Aegean,Gökova Gulf,,,-300.0,-100.0,amphorae,Rhodes,?,eastern_med
38,100,Şile,1088,Turkey,Black Sea,Near Şile,,,100.0,125.0,"marble; columns; blocks; marble:Two 10 foot columns, finished state; large verde antico block from Thessaly; five Ionic capitals, a column base, two blocks and a plaque from Proconnesus, some roughly quarried, some half finished. _x000D_
Huge unfinished statue of an emperor (4.5m), a  large female bust that may date to the early C2nd AD. A sarcophagus lid, a stele and two bowls. _x000D_
There may be more marble buried in the sand.","Thessaly, Proconnesus",Black Sea,black_sea
39,24,Bozukkale,112,Turkey,Aegean,Marmaris Peninsula,,,,,amphorae,?,?,eastern_med
40,101,Sinope deep wreck A,,Turkey,Black Sea,Northern Turkey,,,400.0,700.0,amphorae,Black Sea,?,black_sea
41,102,no name,,Bulgaria,Black Sea,?,,,-500.0,-200.0,amphorae,South coast Black Sea,?,black_sea
42,30,Piadha,810,Greece,Aegean,"North of Epidaurus, Argolis",,,-500.0,-1.0,Laconian tiles,Aegean,?,eastern_med
43,300,Preveza B,905,Greece,Central Mediterranean,In the area of Actium,,,-300.0,-250.0,amphorae,Corinth,Italy?,eastern_med
44,305,Methone A,693,Greece,Central Mediterranean,"Near Methone, Peloponnese",,,-425.0,-25.0,amphorae,Aegean?,Italy?,eastern_med
45,31,Marathon,650,Greece,Aegean,"Near Marathon, Attica",,,-400.0,-1.0,"Famous bronze statue of a boy, perhaps the god Hermes. It is the work of the school of Praxiteles and is dated to 325-300 BC.",Athens,?,eastern_med
46,306,Preveza A,904,Greece,Central Mediterranean,Near Actium,,,-200.0,-150.0,amphorae,Italy,?,eastern_med
47,33,Dhrapi,363,Greece,Aegean,"Between Hydra and Spetsai, Peloponnese",,,-250.0,-50.0,amphorae,Rhodes,?,eastern_med
48,34,Artemision,57,Greece,Aegean,Northern Euboea,,,-200.0,-80.0,"Bronze works of art, including C5th male statue of Poseidon/Zeus brandishing a trident with his raised right hand. It is an original work of a great sculptor, possibly  Kalamis, and a C2nd horse and jockey. The Jockey's physiognomy and original black skin are those of an Ethiopian, but his hairstyle is Greek, which implies that he is of mixed heritage. He is most likely a professional jockey. The best interpretation is that the group was set up in a sanctuary to honour one or more victories in horse races. The large size of the monument and the high quality of the sculpture suggest commission by a royal or wealthy Greek aristocratic. Lots of pottery, two cups and a lamp (perhaps dating the site to ca.150 BC).",Corinth?,Pergamum?,eastern_med
49,307,Limeni,597,Greece,Central Mediterranean,South west Peloponnese,,,-100.0,-75.0,amphorae,?,?,eastern_med
50,35,Rhaphina,982,Greece,Aegean,East coast of Attica,,,-100.0,-1.0,amphorae,Cos,?,eastern_med
51,308,Areopolis,54,Greece,Central Mediterranean,"Mani, Peloponnese",,,-100.0,-1.0,amphorae,Adriatic,Aegean,eastern_med
52,42,Ai-Strate (?),,Greece,Aegean,Euboea,,,-325.0,400.0,amphorae,?,?,eastern_med
53,313,Palairos (?),,Greece,Central Mediterranean,Aetolia,,,1.0,350.0,marble; columns; marble:A column of green cipollino 4.10m long and 0.37m and 0.57m in diameter was collected in the net of a fishing boat.,Carystos,Italy?,eastern_med
54,210,Arwad C,60,Syria,Eastern Mediterranean,Off the coast of Tartous,,,,,marble; columns; marble:Small black basalt columns lying on sand.,?,?,eastern_med
55,211,Tyre E,1188,Lebanon,Eastern Mediterranean,On the south side of Tyre,,,-300.0,-200.0,amphorae,?,?,eastern_med
56,212,Sidon,1083,Lebanon,Eastern Mediterranean,Near Sidon,,,-100.0,-1.0,amphorae; Pottery of C 1st BC.,?,?,eastern_med
57,213,Tyre B,1185,Lebanon,Eastern Mediterranean,On the south side of Tyre,,,1.0,100.0,amphorae,?,?,eastern_med
58,214,Tyre C,1186,Lebanon,Eastern Mediterranean,On the south side of Tyre,,,1.0,400.0,amphorae,?,?,eastern_med
59,215,Haifa (?),,Israel,Eastern Mediterranean,Off Haifa,,,-150.0,-140.0,"40 kg silver coins, tetradrachms of Ptolemy VI, 20kg stuck together and 1,800 coins.",Egypt,?,eastern_med
60,216,Megadim A,689,Israel,Eastern Mediterranean,Near 'Atlit,,,-140.0,-130.0,"Scattered over an area 100m x 50m -  jewellery; copper bar ingots marked with Greek letters and two circular tin ingots approximately 18cm across._x000D_
Many fragments of life-size bronze statues, both human and animal._x000D_
Other decorative items of bronze and silver._x000D_
Two neck-less amphorae used as containers for miscellaneous items, including bronze bracelets in various stages of manufacture, arrowheads, gilded balance plates, gold diadem leaves and silversmith’s tools.",Aegean,Levant,eastern_med
61,217,Straton’s Tower,1115,Israel,Eastern Mediterranean,Just to the north of Caesarea,,,25.0,75.0,amphorae,Italy,Caesarea,eastern_med
62,218,Caesarea Maritima,,Israel,Eastern Mediterranean,Caesarea,,,84.0,96.0,Lead ingots with stamp of Domitian; title GER indicates a date in or after AD 84.,?,Caesarea Maritima,eastern_med
63,219,Hof Hacarmel  A,504,Israel,Eastern Mediterranean,South of Haifa,,,160.0,170.0,"amphorae; Bronze statuettes of Venus, Diana and the Dioscuri; Roman coins of Trajan, Hadrian, Antoninus Pius and Faustina the Younger.",?,?,eastern_med
64,220,Alexandria A,31,Egypt,Eastern Mediterranean,Near Alexandria,,,-150.0,400.0,amphorae,Adriatic,Alexandria,eastern_med
65,222,Qaitbay 1,,Egypt,Eastern Mediterranean,"100m  north of Fort Qaitbay, Alexandria",,,-75.0,-25.0,"amphorae; marble; blocks; Some plain pottery,  fine pottery and lamps.",Italy via Crete and Rhodes,Alexandria,eastern_med
66,223,Deep Tow Site,356,International waters,Eastern Mediterranean,Between Libya and Turkey,,,-300.0,-200.0,amphorae,Aegean,North Africa?,eastern_med
67,103,Callatis B,161,Romania,Black Sea,"Off 2 Mai village, near border with Bulgaria",,,-200.0,-150.0,amphorae,Thasos,Black Sea,black_sea
68,501,Shab Rumi,1077,Sudan,Red Sea,An atoll 40km from Port Sudan,,,-50.0,100.0,amphorae,Aegean,India?,eastern_med
69,36,Antikythera A,44,Greece,Aegean,Off southern tip of Peloponnese,,,-80.0,-70.0,"amphorae; marble; columns; marble:36 marble statues, many of which are copies of bronze originals that are unknown. Fragments of more statues.; Contemporary works of art and old masters from C 4th-2nd BC, including the bronze Antikythera Youth, a bearded head, a pair of statuettes and a bronze bed._x000D_
A large amount of fine and coarse pottery. _x000D_
A dozen glass vessels, possibly Alexandrian?_x000D_
Piles of coins from Pergamum 88-86 BC and gold bars. _x000D_
A necklace, a ring and other jewellery. _x000D_
Ingots and lead items._x000D_
An astronomical computer by which the wreck is dated.",Alex/ Pergamum/ Aegean,Rome,eastern_med
70,37,Kythera,564,Greece,Aegean,Off southern tip of Peloponnese,,,-50.0,110.0,amphorae,Rhodes,Rome?,eastern_med
71,309,Methone D,696,Greece,Central Mediterranean,"South west Messinia, Peloponnese",,,100.0,300.0,"marble; sarcophagi; marble:Four unfinished garland sarcophagi of Assos stone with lids lying underneath them.; Tiles, pottery and a glass unguent jar.",Assos,Italy?,eastern_med
72,39,Piraeus A,817,Greece,Aegean,In Piraeus harbour,,,100.0,200.0,Sculptures of the C2nd AD.,Aegean?,?,eastern_med
73,310,Methone C,695,Greece,Central Mediterranean,"South west Messinia, Peloponnese",,,200.0,250.0,"amphorae; marble; columns; marble:One complete and twenty fragments of already broken columns of pink granite, from Aswan, scattered over a 30 x 20m area. Six columns lie 60m south of the site. Apparently from a ruined building, being transported for re-use. The complete column is 8m long. Total estimated weight 131.5 tons; A fragment of glass.",Aegean,Italy?,eastern_med
74,312,Cape Akritas,201,Greece,Central Mediterranean,"South Messinia, Peloponnese",,,,,amphorae,?,?,eastern_med
75,43,Antikythera B,45,Greece,Aegean,Off south east Peloponnesus,,,-100.0,500.0,amphorae,Aegean,Rome?,eastern_med
76,311,Sapientza,1037,Greece,Central Mediterranean,"South west Messinia, Peloponnese",,,-150.0,400.0,"amphorae; marble; blocks; marble:Blocks and slabs of white marble, estimated weight 300 tons.",Aegean,Italy?,eastern_med
77,500,Quseir,,Egypt,Red Sea,Halfway down Egyptian coast of Red Sea,,,-100.0,100.0,amphorae,Italy,India?,eastern_med
78,502,Bet Dwarka,,India,Indian Ocean,West coast,,,-100.0,200.0,amphorae; A lead ingot; sherds of pottery.,Italy,India,other
79,424,Santa Maria,1034,Italy,Tyrrhenian Sea,North east Sardinia,,,200.0,300.0,marble; blocks; marble:Several marble blocks.,Aegean?,France/Spain?,western_med
80,464,St Tropez A,1008,France,Western Mediterranean,Var,,,100.0,200.0,"marble; columns; marble:12 large piece of Luna marble  (column drums, bases, a slab and an architrave) with an estimated weight of 200-230 tons.",Luna,South of France,western_med
81,57,Kalymnos (?),,Greece,Aegean,"Kalymnos, Dodecanese",,,-325.0,400.0,"Leg of a bronze statue of a horseman, probably part of the same statue as the leg handed in in 1997.  Discovered by fishermen.",Aegean,?,eastern_med
82,58,Pserimos (?),,Greece,Aegean,"Kalymnos, Dodecanese",,,-325.0,-25.0,"Bronze statue of a woman, 1.98m high. The head was broken off during lifting.",Aegean,?,eastern_med
83,59,Kalymnos (?),,Greece,Aegean,"Kalymnos, Dodecanese",,,-325.0,400.0,"Bronze sculptures incl. male head with crown/hat, 2 bronze legs, bronze dolphin.",Aegean,?,eastern_med
84,64,Makronisi (?),,Greece,Aegean,"Near Leipsoi, Dodecanese",,,1.0,200.0,amphorae,Aegean,?,eastern_med
85,62,Four wrecks off Maltezana,,Greece,Aegean,"Astypalaea, Dodecanese",,,-150.0,400.0,"Lead sarcophagus, ‘thought to have belonged to a Roman officer who had died in the Middle East’ of C1st BC-AD.",Aegean,?,eastern_med
86,60,Astypalaea (?),,Greece,Aegean,"Astypalaea, Dodecanese",,,-300.0,-100.0,amphorae,Cos,Rome?,eastern_med
87,61,Astypalaea (?),,Greece,Aegean,"Astypalaea, Dodecanese",,,200.0,300.0,"50,000 silver-plated copper coins.",?,?,eastern_med
88,63,Astypalaea (?),,Greece,Aegean,"Astypalaea, Dodecanese",,,-150.0,400.0,Large consignment of household pots.,Aegean,?,eastern_med
89,65,Samos (?),,Greece,Aegean,Samos,,,-325.0,400.0,amphorae,Aegean,?,eastern_med
90,66,AĬ-Yannis Tholou B,20,Greece,Aegean,Chios,,,-200.0,-100.0,amphorae,Cnidus,?,eastern_med
91,67,Skerki Bank Keith Reef 1,,International waters,,"Between Sicily, Sardinia and Tunisia",,,-50.0,-25.0,,,,western_med
92,68,Atalanti,62,Greece,Aegean,Chios,,,1.0,100.0,amphorae,Aegean,?,eastern_med
93,69,Komi B,553,Greece,Aegean,Chios,,,-150.0,400.0,amphorae; Roof tiles and terracotta pipes.,Aegean,?,eastern_med
94,70,Mytilene (?),,Greece,Aegean,Lesbos,,,-150.0,400.0,"The hand of a bronze statue, over life-sized, found by fishermen in 1970.",Aegean,?,eastern_med
95,71,Glaronissi,455,Greece,Aegean,Lesbos,,,-150.0,400.0,amphorae,?,?,eastern_med
96,73,Moudros Bay (?),,Greece,Aegean,Lemnos,,,-325.0,-25.0,amphorae,Aegean,?,eastern_med
97,74,Thasos B,1147,Greece,Aegean,Thasos,,,-100.0,-1.0,amphorae,Adriatic,Aegean?,eastern_med
98,76,Andros (?),,Greece,Aegean,Cyclades,,,-150.0,400.0,marble; sarcophagi; marble:Stone sarcophagi.,Aegean,?,eastern_med
99,78,Psathonisi (?),,Greece,Aegean,"SW of Kokinas, Syros, Cyclades",,,,,amphorae,Aegean,?,eastern_med
100,79,Kythnos I,,Greece,Aegean,"Kythnos, Cyclades",,,-350.0,-300.0,"amphorae; Bronze statue of a nude male, partially preserved 1.45m high (the head, right arm, right calf and back are missing)._x000D_
Cooking pots and other vases.",Aegean,?,eastern_med
101,80,Seriphos,1075,Greece,Aegean,"Seriphos, Cyclades",,,-250.0,-225.0,amphorae,Corinth,?,eastern_med
102,77,Foinikas port,,Greece,Aegean,"Syros, Cyclades",,,,,amphorae,Aegean,?,eastern_med
103,81,Siphnos (?),,Greece,Aegean,"Siphnos, Cyclades",,,-200.0,-100.0,amphorae,Aegean,?,eastern_med
104,82,Bay of Naousa,,Greece,Aegean,"Paros, Cyclades",,,-100.0,-1.0,amphorae,Cos,?,eastern_med
105,83,Paros B,792,Greece,Aegean,"Paros, Cyclades",,,-50.0,150.0,amphorae,Adriatic?,?,eastern_med
106,84,Paros A,791,Greece,Aegean,"Paros, Cyclades",,,1.0,100.0,amphorae,Cos,?,eastern_med
107,85,Bay of Paroikia,,Greece,Aegean,"Paros, Cyclades",,,100.0,200.0,"marble; columns; marble:Two hundred and seven marble objects including unfluted columns and architectural blocks; cinerary urns, some complete and inscribed, the pediment crowning a funerary stele, a lion’s foot, sarcophagus lids; two Doric capitals; the head of a marble statue and the torso of a small statue of Artemis.",Paros?,?,eastern_med
108,86,Saliagos,1016,Greece,Aegean,"Paros, Cyclades",,,-150.0,400.0,Coarse pottery.,Aegean,?,eastern_med
109,320,Glavat Islet,,Croatia,Adriatic,"NW side of Mljet island, north west of Dubrovnik.",42.8,17.36666,-25.0,-1.0,amphorae,?,Northern Italy,adriatic
110,38,Agios Petros Bay(?),,Greece,Aegean,"Near Gythion, Laconia",,,1.0,125.0,amphorae,Aegean,Rome?,eastern_med
111,40,Neapolis (?),,Greece,Aegean,"South east Laconia, Peloponnese",,,100.0,200.0,amphorae,Aegean,Rome?,eastern_med
112,41,Stenos Desfinas (?),,Greece,Aegean,"Phocis, off the Tsimplias headland",,,-150.0,400.0,amphorae,Aegean,?,eastern_med
113,449,Le Grand Congloué A,472,France,Western Mediterranean,Near Marseille,,,-210.0,-180.0,"amphorae; 7000 pieces of Campanian A pottery datable to c. 190 BC. _x000D_
Some ungentaria, 3 lamps and some Ampuritan Grey pottery.","Aegean, Italy",France/Spain?,western_med
114,452,Cassidaigne,274,France,Western Mediterranean,Bouches-du-Rhône,,,-100.0,-1.0,amphorae,"Cos, Crete, Italy",France,western_med
115,455,Rhône Delta,984,France,Western Mediterranean,Bouches-du-Rhône,,,-25.0,-15.0,"amphorae; marble; columns; marble:A colossal head of Augustus in Luna marble, 0.7m high belonging to a statue at least 3-4m tall. The marble head was new at the time of loss and belongs stylistically with representations of Augustus from the 20s BC. Also granite blocks.",Luna,Inland France?,western_med
116,456,La Tradelière,1174,France,Western Mediterranean,Alpes-Maritimes,43.51343,7.07373,-20.0,-10.0,"amphorae; Tens of thousands of hazelnuts, which formed a layer up to a metre thick. Pottery including Pompeian red plates, rimless platters, fine-wall goblets and two-handled and four-handled cups, as well as two pieces of eastern pottery. Glass cups, stacked in piles of 8 or 10, in six different colours.",Aegean via southern Italy,France,western_med
117,432,Porto Novo,,France,Western Mediterranean,South east Corsica,41.50169,9.2749,27.0,50.0,"amphorae; marble; columns; blocks; marble:Over an area of 15m x 7m, four column fragments between 2.2m and 4.8m long with a diameter of 1.5m; five blocks, one of which is large at 23.3 tons, all in an unfinished state from Luna . A total weight is estimated at 138 tons. Some badly finished slabs of veneer of coloured marble, from a variety of sources, Chemtou, Teos, Chios and Carystos,  possibly left over from previous journeys. Black and white quartz from Egypt. A large number of sets of stone-working tools.",Egypt? Luna?,"France, Spain?",western_med
118,200,Kyrenia,563,Cyprus,Eastern Mediterranean,North coast,,,-310.0,-300.0,"amphorae; 10,000 almonds, lying in clusters, indicating that they were carried in sacks. _x000D_
29 millstones with mason's marks including single Greek letters, but a great variety of size and types of finish, possibly from Cos.",Aegean and lastly Cyprus.,Aegean?,eastern_med
119,201,Xerolimini,1233,Cyprus,Eastern Mediterranean,West coast,,,-300.0,-100.0,amphorae,?,?,eastern_med
120,202,Cyprus,350,Cyprus,Eastern Mediterranean,South coast,,,-125.0,-100.0,amphorae,Rhodes,Cyprus/ Levant,eastern_med
121,203,Ayios Georghios,69,Cyprus,Eastern Mediterranean,West coast,,,-300.0,-200.0,amphorae,?,?,eastern_med
122,204,Koppo,554,Cyprus,Eastern Mediterranean,West coast,,,-100.0,-1.0,amphorae; Pottery and part of moulded glass bowl.,Rhodes,?,eastern_med
123,205,Cape Kiti B,213,Cyprus,Eastern Mediterranean,South coast,,,-10.0,40.0,amphorae,Adriatic?,Cyprus/Levant?,eastern_med
124,207,Fondana Amorosa,414,Cyprus,Eastern Mediterranean,North west tip,,,-150.0,400.0,amphorae; Other artefacts?,?,?,eastern_med
125,206,Cape Andreas F,207,Cyprus,Eastern Mediterranean,East tip,,,-150.0,400.0,"Corinthian-style roof tiles and cover-tiles, still stacked in position, in two areas. The larger area has about 60 tiles in four rows with another layer underneath; the smaller has about 15 tiles.",Corinth?,Cyprus/Levant,eastern_med
126,208,No name,,International waters,Eastern Mediterranean,Between Rhodes and Alexandria 200 miles off Cyprus,,,-225.0,-175.0,amphorae,Pamphylia,Alexandria,eastern_med
127,240,Apollonia B,48,Libya,Eastern Mediterranean,In the harbour of Apollonia,,,-180.0,-150.0,amphorae; Main cargo of Megarian bowls made at the 'Atelier de Menemakhos' (eastern Aegean).,Aegean and Italy?,North Africa,western_med
128,241,Apollonia A,47,Libya,Eastern Mediterranean,In the harbour of Apollonia,,,-150.0,-120.0,Pottery including a black-gloss cup with Greek graffito 'Herakleides'.,Aegean?,North Africa?,western_med
129,386,Sidi Ahmad,1082,Libya,Central Mediterranean,West end of Gulf of Sirte,,,117.0,300.0,marble; columns; marble:Two long columns of white marble with green veins (cipollino?).,Carystos?,North Africa,western_med
130,242,Marsa -El-Brega Roman,,Libya,Eastern Mediterranean,Gulf of Sirte,,,1.0,100.0,amphorae,Tripolitania (?),"Brega, for trans shipment (?)",western_med
131,221,Qaitbay 2,,Egypt,Eastern Mediterranean,"650m NE of Fort Qaitbay, Alexandria",,,-200.0,-1.0,amphorae,Rhodes,Alexandria,eastern_med
132,385,Mahdia,621,Tunisia,Central Mediterranean,Eastern Tunisia,,,-90.0,-60.0,"marble; columns; marble:Seventy Attic marble columns, weighing about 205 tonnes, varying in size from 1.85m to 4.4m. Also bases, capitals and basins. Total weight probably about 250 tonnes._x000D_
Seven life-sized marble heads and busts among them the bust of Aphrodite, that had already been used as tondi._x000D_
At least four large craters decorated with reliefs showing Dionysiac processions._x000D_
Bases, altars, fountain rims, small Doric capitals etc that had obviously furnished one or more sanctuaries. Two of the inscriptions refer to the sanctuary of the paraloi in the Piraeus.; Full-size and miniature bronze sculptures, including a statue of a winged youth (Eros?) and a herm of Dionysus with the signature of Boethus of Chalchedon, both of which show traces of having been removed from their marble bases; vases and candelabra, other decorative pieces. _x000D_
Bronze couches inscribed with Greek numbers, showing that the ship was carrying at least 22 of them.",Athens via Delos?,Rome?,western_med
133,451,Cavalière,282,France,Western Mediterranean,Var,,,-110.0,-90.0,"amphorae; A considerable quantity of bones of domestic pigs, without feet or many vertebrae, points to a cargo of quartered meat that may have been smoked or salted._x000D_
Black-gloss Campanian ware._x000D_
A group of Spanish pottery, jugs, a jar, two goblets in grey ware and 'six sombreros de copa'.",General Mediterranean?,France,western_med
134,335,Jakljan Island,,Croatia,Adriatic,Southern Dalmatia,42.73333,17.8,-150.0,400.0,marble; sarcophagi; marble:Three sarcophagi with lids.,?,Northern Italy,adriatic
135,408,Panarea (Alberti),784,Italy,Tyrrhenian Sea,Lipari Islands,,,50.0,100.0,amphorae,Crete,Rome,western_med
136,400,Punta Mazza,,Italy,Tyrrhenian Sea,North-east Sicily near Capo Milazzo,38.27049,15.23537,200.0,250.0,"amphorae; Corinthian relief cups showing the exploits of Heracles, battle scenes, ritual scenes and hunting scenes.","Palestine? Cilicia,  Aegean?",Rome,western_med
