wreck_id,strauss_id,name,parker_number,country,sea_area,region_db,latitude,longitude,date_start,date_end,cargo_types,provenance,destination,region
7639,0,Capel Rosso,216,,,,0.0,0.0,-100.0,-1.0,,,,western_med
7640,0,Capo Ali,217,,,,0.0,0.0,-500.0,-400.0,,,,western_med
7641,0,Capo Bellavista,218,,,,0.0,0.0,-25.0,25.0,,,,western_med
7642,0,Capo Carbonara A,219,,,,0.0,0.0,-300.0,-100.0,,,,western_med
7643,0,Capo Carbonara B,220,,,,0.0,0.0,200.0,275.0,,,,western_med
7644,0,Capo Carbonara C,221,,,,0.0,0.0,30.0,70.0,,,,western_med
7646,0,Capo Colonna,223,,,,0.0,0.0,-600.0,-300.0,,,,western_med
7647,0,Capo della Frasca,224,,,,0.0,0.0,-400.0,-200.0,,,,western_med
7648,0,Capo di Muro,225,,,,0.0,0.0,1.0,400.0,,,,western_med
7649,0,Capo di Torre Cavallo,226,Italy,,Puglia,0.0,0.0,-150.0,-50.0,amphorae,,,western_med
7650,0,Capo Enfola,227,,,,0.0,0.0,-150.0,-100.0,,,,western_med
7651,0,Capo Ferrato,228,,,,0.0,0.0,-150.0,400.0,,,,western_med
7653,0,Capo Granitola B,230,,,,0.0,0.0,-300.0,-150.0,,,,western_med
7654,0,Capo Granitola C,231,,,,0.0,0.0,250.0,400.0,,,,western_med
7656,0,Capo Graziano A,233,,,,0.0,0.0,-160.0,-140.0,,,,western_med
7657,0,Capo Graziano B,234,,,,0.0,0.0,-325.0,-275.0,,,,western_med
7658,0,Capo Graziano C,235,,,,0.0,0.0,1.0,10.0,,,,western_med
7659,0,Capo Graziano F,236,,,,0.0,0.0,-300.0,-250.0,,,,western_med
7660,0,Capo Graziano G,237,,,,0.0,0.0,-450.0,-425.0,,,,western_med
7661,0,Capo Graziano H,238,,,,0.0,0.0,-100.0,-50.0,,,,western_med
7662,0,Capo Graziano J,239,,,,0.0,0.0,,,,,,western_med
7663,0,Capo Graziano K,240,,,,0.0,0.0,,,,,,western_med
7664,0,Capo Graziano L,241,,,,0.0,0.0,,,,,,western_med
7665,0,Capo Graziano M,242,,,,0.0,0.0,150.0,250.0,,,,western_med
7666,0,Capo Graziano N,243,,,,0.0,0.0,-150.0,400.0,,,,western_med
7667,0,Capo Mele,244,,,,0.0,0.0,-175.0,-125.0,,,,western_med
7668,0,Capo Passero,245,,,,0.0,0.0,400.0,650.0,,,,western_med
7669,0,Capo Plaia,246,,,,0.0,0.0,200.0,275.0,,,,western_med
7670,0,Capo Rasocolmo A,247,,,,0.0,0.0,-36.0,-36.0,,,,western_med
7671,0,Capo Rasocolmo B,248,,,,0.0,0.0,-450.0,-400.0,,,,western_med
7672,0,Capo Rasocolmo C,249,,,,0.0,0.0,-150.0,-75.0,,,,western_med
7673,0,Capo Rizzuto,250,,,,0.0,0.0,-150.0,400.0,,,,western_med
7674,0,Capo San Alessio,251,,,,0.0,0.0,100.0,300.0,,,,western_med
7675,0,Capo San Vito,252,,,,0.0,0.0,-150.0,400.0,,,,western_med
7676,0,Capo Sant'Andrea A,253,,,,0.0,0.0,-60.0,-35.0,,,,western_med
7677,0,Capo Sant'Andrea B,254,,,,0.0,0.0,-125.0,-100.0,,,,western_med
7678,0,Capo Sant'Elia,255,,,,0.0,0.0,-150.0,400.0,,,,western_med
7680,0,Capo Testa A,257,,,,0.0,0.0,1.0,75.0,,,,western_med
7681,0,Capo Testa B,258,,,,0.0,0.0,-75.0,-25.0,,,,western_med
7682,0,Capo Vite,259,,,,0.0,0.0,1300.0,1500.0,,,,western_med
7683,0,Capo Zafferano,260,,,,0.0,0.0,-300.0,-150.0,,,,western_med
7684,0,Capraia A,261,,,,0.0,0.0,-100.0,100.0,,,,western_med
7685,0,Capraia B,262,,,,0.0,0.0,-150.0,400.0,,,,western_med
7686,0,Capraia C,263,,,,0.0,0.0,,,,,,western_med
7688,0,Capraia E,265,,,,0.0,0.0,1000.0,1500.0,,,,western_med
7689,0,Caprera,266,,,,0.0,0.0,100.0,200.0,,,,western_med
7690,0,Carqueiranne,267,,,,0.0,0.0,-75.0,-25.0,,,,western_med
7691,0,Carro A,268,,,,0.0,0.0,525.0,550.0,,,,western_med
7692,0,Carro B,269,,,,0.0,0.0,-125.0,-75.0,,,,western_med
7693,0,Carro C,270,,,,0.0,0.0,1.0,275.0,,,,western_med
7694,0,Carry-le-Rouet,271,France,Western Mediterranean,,0.0,0.0,-125.0,-75.0,blocks; marble:24 tons of local French limestone.,South of France,,western_med
7695,0,Cartagena A,272,,,,0.0,0.0,-50.0,50.0,,,,western_med
7697,0,Cartagena B,273,,,,0.0,0.0,-100.0,-1.0,,,,western_med
7698,0,Cassis,275,,,,0.0,0.0,-100.0,-1.0,,,,western_med
7699,0,Castellammare del Golfo,276,,,,0.0,0.0,1400.0,1500.0,,,,western_med
7700,0,Castellare del Porto,277,,,,0.0,0.0,-200.0,-150.0,,,,western_med
7701,0,Castelsardo,278,,,,0.0,0.0,100.0,200.0,,,,western_med
7702,0,Castillo,279,,,,0.0,0.0,1.0,100.0,,,,western_med
7703,0,Les Catalans,280,,,,0.0,0.0,325.0,375.0,,,,western_med
7704,0,Cattolica,281,,,,0.0,0.0,-100.0,-25.0,,,,western_med
7706,0,Cavallo A,283,France,Western Mediterranean,Corsica,41.3601,9.26181,40.0,60.0,amphorae,"Llobregat, Spain",,western_med
7707,0,Cavallo B,284,,,,0.0,0.0,275.0,400.0,,,,western_med
7708,0,Cavallo C,285,,,,0.0,0.0,-200.0,-140.0,,,,western_med
7709,0,Caveaux A,286,,,,0.0,0.0,-125.0,-75.0,,,,western_med
7710,0,Caveaux B,287,,,,0.0,0.0,-125.0,-100.0,,,,western_med
7712,0,Cavoli,289,,,,0.0,0.0,1425.0,1440.0,,,,western_med
7713,0,Cavtat,290,,,,0.0,0.0,-100.0,-25.0,,,,adriatic
7714,0,Cecina,291,,,,0.0,0.0,-125.0,-75.0,,,,western_med
7715,0,Cefalu,292,Italy,,Sicily,0.0,0.0,400.0,600.0,,,,western_med
7716,0,Cervia,293,,,,0.0,0.0,1.0,400.0,,,,western_med
7717,0,Cervo,294,,,,0.0,0.0,-50.0,100.0,,,,western_med
7718,0,Cherchel A,298,,,,0.0,0.0,-25.0,75.0,,,,western_med
