bin_start,bin_end,bin_mid,total_count,western,eastern
-600,-575,-587.5,0.0,0.0,0.0
-575,-550,-562.5,0.0,0.0,0.0
-550,-525,-537.5,0.18518518518518517,0.18518518518518517,0.0
-525,-500,-512.5,0.8518518518518519,0.8518518518518519,0.0
-500,-475,-487.5,0.0,0.0,0.0
-475,-450,-462.5,0.0,0.0,0.0
-450,-425,-437.5,0.0847457627118644,0.0847457627118644,0.0
-425,-400,-412.5,0.42372881355932207,0.42372881355932207,0.0
-400,-375,-387.5,0.933932895191975,0.933932895191975,0.0
-375,-350,-362.5,0.5949498443445175,0.5949498443445175,0.0
-350,-325,-337.5,1.1051539259771705,1.1051539259771705,0.0
-325,-300,-312.5,1.4441369768246282,1.4441369768246282,0.0
-300,-275,-287.5,4.339001948084636,3.835848554855866,0.25062814070351763
-275,-250,-262.5,4.4865053837236655,3.983351990494895,0.25062814070351763
-250,-225,-237.5,6.865719244736847,6.362565851508075,0.25062814070351763
-225,-200,-212.5,8.596113562207115,8.092960168978344,0.25062814070351763
-200,-175,-187.5,14.263761806695134,7.060925923541541,7.077207742450069
-175,-150,-162.5,26.552742669412762,9.447383627090701,15.896397568285204
-150,-125,-137.5,21.261225932293232,8.737892390686556,12.358945710980686
-125,-100,-112.5,44.64648922358432,22.36292813870309,21.464134494565332
-100,-75,-87.5,89.93731159754326,59.5583191256599,28.573968145969907
-75,-50,-62.5,111.18370413039429,86.07439952936147,23.307174048013017
-50,-25,-37.5,262.131914627578,211.7445293687408,44.29892090960269
-25,0,-12.5,825.1959261524853,696.9086097938716,91.1396472939006
0,25,12.5,2331.338381555644,2022.5897933706296,193.96693963175156
25,50,37.5,2618.7574632705723,2292.8313622093997,206.9591581802684
50,75,62.5,2952.406299766431,2584.8081076511285,236.49313555757877
75,100,87.5,3822.1720743531178,3357.3135311475357,313.84802479661744
100,125,112.5,5082.054495512325,4143.116693615776,800.5871224265096
125,150,137.5,5489.087868720909,4438.421501292051,904.5197934487592
150,175,162.5,6057.035472034368,4687.264745322913,1224.0895783945562
175,200,187.5,6525.561408798512,5103.059478362905,1301.6299628679174
200,225,212.5,5993.093376778424,4573.78922768785,1297.2942105296092
225,250,237.5,5019.620869973886,3754.1922624745644,1166.5574573158462
250,275,262.5,3253.70171413087,2530.298827601635,640.0315311113873
275,300,287.5,2729.7260224893703,2280.2086880384836,364.6422524040347
300,325,312.5,1083.376757192931,781.6120420391463,249.37417723809074
325,350,337.5,695.4605818284235,548.8580401555619,119.76356467716376
350,375,362.5,699.0377408143645,570.0325219026009,104.63583095115077
375,400,387.5,638.5687115375783,541.5202912515822,78.07885448779803
400,425,412.5,405.70168127153676,365.75705425714324,33.074383804040124
425,450,437.5,328.2935104536656,299.5485179242306,22.851080556851215
450,475,462.5,291.6362427746842,263.4206359920796,24.469426013442455
475,500,487.5,293.63686845502093,266.97423144460635,22.664137131790685
500,525,512.5,210.81011995718683,185.17660309763366,23.557807077387544
525,550,537.5,194.35451894426896,169.19173849705942,23.58632272153225
550,575,562.5,193.6489153336509,169.35618226035118,22.148478737452702
575,600,587.5,202.14924835218625,180.99314846253966,19.455913350410285
600,625,612.5,73.72391884357238,70.72175366620004,2.366304229282571
625,650,637.5,52.82514926507715,51.45792418207115,1.097744932852439
650,675,662.5,49.57093680328292,48.649213392847294,0.7539381755362978
675,700,687.5,54.080737271387655,53.15901386095203,0.7539381755362978
700,725,712.5,20.508773537978975,20.310830776058193,0.030157527021451913
725,750,737.5,12.156899810695844,11.989114575796515,0.0
750,775,762.5,4.983047113105073,4.908539093539607,0.0
775,800,787.5,5.223919189568166,4.800190376008844,0.0
800,825,812.5,1.44258005752201,1.018851243962688,0.0
825,850,837.5,0.5214596083973387,0.41976469314310144,0.0
850,875,862.5,0.2803339288322603,0.2803339288322603,0.0
875,900,887.5,0.2803339288322603,0.2803339288322603,0.0
900,925,912.5,0.5277056047753648,0.5277056047753648,0.0
925,950,937.5,0.5380127579396607,0.5380127579396607,0.0
950,975,962.5,0.04821683957231391,0.04821683957231391,0.0
975,1000,987.5,0.027808676307007785,0.027808676307007785,0.0
