bin_start,bin_end,bin_mid,total_count,western_med,eastern_med,adriatic,black_sea,atlantic
-600,-575,-587.5,4.123333333333334,3.0100000000000007,0.5716666666666668,0.2916666666666667,0.25,0.0
-575,-550,-562.5,6.383333333333334,4.3,1.5416666666666667,0.2916666666666667,0.25,0.0
-550,-525,-537.5,8.638333333333337,7.140000000000001,0.9566666666666666,0.2916666666666667,0.25,0.0
-525,-500,-512.5,10.69277777777778,8.234444444444442,0.9166666666666666,1.2916666666666665,0.25,0.0
-500,-475,-487.5,11.114922623023832,5.988055555555555,3.0934335337341348,1.3166666666666667,0.7167668670674683,0.0
-475,-450,-462.5,9.901589289690493,3.839722222222221,3.0334335337341347,0.3116666666666667,2.7167668670674683,0.0
-450,-425,-437.5,12.414367067468275,6.567500000000001,4.918433533734136,0.13166666666666665,0.7967668670674682,0.0
-425,-400,-412.5,13.83258135318256,6.087499999999999,6.903314486115089,0.125,0.7167668670674683,0.0
-400,-375,-387.5,16.227499899548476,7.626666666666667,6.150733032481002,0.8800000000000001,1.5701002004008016,0.0
-375,-350,-362.5,12.167499899548478,5.128333333333333,5.247399699147669,0.8750000000000001,0.9167668670674683,0.0
-350,-325,-337.5,13.889166566215142,5.494999999999999,6.784542556290526,0.8750000000000001,0.7346240099246112,0.0
-325,-300,-312.5,19.625705104305407,8.625,8.264096967396664,0.8750000000000001,1.8616081369087378,0.0
-300,-275,-287.5,26.325352606561605,15.939366937410421,6.198266421131331,2.3950000000000005,1.7927192480198495,0.0
-275,-250,-262.5,19.102019273228272,12.144366937410416,4.7165997544646645,1.4149999999999998,0.8260525813531827,0.0
-250,-225,-237.5,16.273797051006046,10.711144715188194,3.8615997544646654,0.8950000000000001,0.8060525813531827,0.0
-225,-200,-212.5,17.045511336720335,12.036192334235814,3.3282664211313318,0.8750000000000001,0.8060525813531827,0.0
-200,-175,-187.5,39.3803234927385,32.516607505329375,4.630368598685771,1.567294807370184,0.6660525813531825,0.0
-175,-150,-162.5,36.761990159405165,28.87660750532939,4.103701932019105,3.1422948073701837,0.6393859146865158,0.0
-150,-125,-137.5,53.536954943874946,41.218810019444604,7.558752437069615,4.3348550575227165,0.15938591468651586,0.0
-125,-100,-112.5,64.07818991260996,52.59183070246528,6.588752437069615,4.493069343237003,0.13938591468651587,0.0
-100,-75,-87.5,81.0262316461573,65.90837171451194,8.269914053231235,6.3600751152427755,0.13938591468651587,0.0
-75,-50,-62.5,65.41533992737428,50.65534141148162,7.594914053231234,6.677213699490035,0.13938591468651587,0.0
-50,-25,-37.5,78.03357034008951,60.1111455265747,9.196769232935251,7.791616512029369,0.05367162897223017,0.0
-25,0,-12.5,67.96638435040848,49.071286810741015,8.63231116387253,8.888998897759583,0.0501002004008016,0.0
0,25,12.5,87.9523101751674,69.13979722414972,6.1380832981646964,10.615751552391323,0.0,0.0
25,50,37.5,88.47934364838713,68.73450972975465,7.167187874947838,10.37759771157017,0.0,0.0
50,75,62.5,88.27230690838458,67.52560224145273,6.200521208281169,10.30446845986949,0.0,0.0
75,100,87.5,84.38284535645651,57.035196362227,6.355283113043073,13.468157024911433,0.0,0.0
100,125,112.5,45.16450091060657,24.565614048340517,5.108889173649129,6.30530301185618,1.0,0.0
125,150,137.5,38.81869678947154,25.07893480643754,3.6090327057442737,4.541627341121686,0.04,0.0
150,175,162.5,37.750279844451484,22.69364429828798,4.580968189615244,2.8889950740598853,0.0,0.0
175,200,187.5,38.995065168933074,24.86002739580195,3.4759681896152417,2.746980634360882,0.0,0.0
200,225,212.5,40.96826274694803,30.077806698867207,3.590317715020043,1.9486523989810847,0.0,0.0
225,250,237.5,31.236775768149606,23.747922662316196,4.030267463763762,1.8754581669513708,0.0,0.0
250,275,262.5,33.795537670757355,26.699974868997366,3.7302674637637625,1.9040726247826962,0.0,0.0
275,300,287.5,35.12289076120371,23.28705830941509,4.788362701859002,2.7800565605256677,0.0,0.0
300,325,312.5,38.29881939483878,29.61259914244496,3.8302674637637635,2.4664556686639068,0.20833333333333334,0.0
325,350,337.5,25.57911236920965,18.0686398473461,3.514553178049478,2.958111187058555,0.20833333333333334,0.0
350,375,362.5,20.326188986161647,15.012020189226446,2.3282494531211118,2.158111187058555,0.20833333333333334,0.0
375,400,387.5,25.0361766362066,16.887270494476752,4.796320131249096,2.158111187058555,0.5750000000000001,0.0
400,425,412.5,23.702423944296523,9.262920834209087,3.5365663363348885,1.5739911141490088,1.804166666666667,0.0
425,450,437.5,12.40408010827495,7.2875252525252545,2.3717215224163626,0.9406666666666665,1.804166666666667,0.0
450,475,462.5,10.264080108274948,4.664858585858586,2.89838818908303,0.7966666666666666,1.904166666666667,0.0
475,500,487.5,11.625080108274947,5.230858585858587,3.2983881890830293,0.7916666666666666,2.3041666666666667,0.0
500,525,512.5,10.867078665273505,2.936,5.7472453319401735,0.3116666666666667,1.8721666666666668,0.0
525,550,537.5,10.979480321588206,4.083333333333333,5.3353136549215385,0.2916666666666667,1.2691666666666666,0.0
550,575,562.5,9.933567278109942,2.7113333333333336,5.501400611443279,0.2916666666666667,1.4291666666666665,0.0
575,600,587.5,10.430784669414289,2.1700000000000004,6.53995133608096,0.2916666666666667,1.4291666666666665,0.0
600,625,612.5,8.93588486981509,1.78,6.35505153648176,0.17166666666666663,0.6291666666666668,0.0
625,650,637.5,9.86092834807596,2.6373333333333333,6.65309501474263,0.16666666666666666,0.4038333333333333,0.0
650,675,662.5,6.802650511384552,2.2053333333333325,4.034817178051219,0.16666666666666666,0.3958333333333333,0.0
675,700,687.5,6.852349447869715,2.166666666666666,4.12318278120305,0.16666666666666666,0.3958333333333333,0.0
700,725,712.5,2.1218715493932523,0.41666666666666663,1.6227048827265853,0.006666666666666667,0.07583333333333334,0.0
725,750,737.5,1.567481305490813,0.33333333333333326,1.1716479721574797,0.0,0.0625,0.0
750,775,762.5,0.9087719151926371,0.27999999999999997,0.5662719151926372,0.0,0.0625,0.0
775,800,787.5,0.8818812461524353,0.2777777777777778,0.5416034683746577,0.0,0.0625,0.0
800,825,812.5,1.5402145794857693,0.1211111111111111,1.2916034683746582,0.125,0.0025,0.0
825,850,837.5,1.5277145794857694,0.1111111111111111,1.2916034683746582,0.125,0.0,0.0
850,875,862.5,1.0732047755642007,0.1111111111111111,0.6704269977864223,0.2916666666666667,0.0,0.0
875,900,887.5,2.0473224226230244,0.1111111111111111,1.6445446448452465,0.2916666666666667,0.0,0.0
900,925,912.5,2.3939890892896907,0.8611111111111112,1.2412113115119132,0.2916666666666667,0.0,0.0
925,950,937.5,2.8389890892896905,1.3611111111111112,1.1862113115119133,0.2916666666666667,0.0,0.0
950,975,962.5,2.8389890892896905,1.3611111111111112,1.1862113115119133,0.2916666666666667,0.0,0.0
975,1000,987.5,2.558989089289691,0.8811111111111112,1.3862113115119132,0.2916666666666667,0.0,0.0
